poi,predominance,term
Estadio Cuauhtemoc,0.8147,estadio
Estadio Cuauhtemoc,0.5542,mundial
Estadio Cuauhtemoc,0.5078,cuauhtémoc
Estadio Cuauhtemoc,0.5078,fútbol
Estadio Cuauhtemoc,0.4585,copa
Estadio Cuauhtemoc,0.4131,méxico
Estadio Cuauhtemoc,0.3707,construcción
Estadio Cuauhtemoc,0.3234,sede
Estadio Cuauhtemoc,0.2896,deportivo
Estadio Cuauhtemoc,0.2896,partido
Estadio Cuauhtemoc,0.2506,mismo
Estadio Cuauhtemoc,0.2251,argentino
Estadio Cuauhtemoc,0.2251,olímpico
Estadio Cuauhtemoc,0.2251,uruguay
Estadio Cuauhtemoc,0.2194,final
Estadio Cuauhtemoc,0.2141,club
Estadio Cuauhtemoc,0.1943,ciudad
Estadio Cuauhtemoc,0.1943,lugar
Estadio Cuauhtemoc,0.1840,obra
Estadio Cuauhtemoc,0.1724,estado
Estadio Cuauhtemoc,0.1724,importante
Estadio Cuauhtemoc,0.1569,gobierno
Estadio Cuauhtemoc,0.1558,azteco
Estadio Cuauhtemoc,0.1558,buap
Estadio Cuauhtemoc,0.1558,concacaf
Estadio Cuauhtemoc,0.1558,escuadra
Estadio Cuauhtemoc,0.1558,espectador
Estadio Cuauhtemoc,0.1558,italia
Estadio Cuauhtemoc,0.1558,olímpicos
Estadio Cuauhtemoc,0.1558,ronda
Estadio Cuauhtemoc,0.1558,tribuna
Estadio Cuauhtemoc,0.1541,historia
Estadio Cuauhtemoc,0.1481,italiano
Estadio Cuauhtemoc,0.1481,selección
Estadio Cuauhtemoc,0.1481,vázquez
Estadio Cuauhtemoc,0.1481,local
Estadio Cuauhtemoc,0.1481,mundo
Estadio Cuauhtemoc,0.1481,vez
Estadio Cuauhtemoc,0.1455,pedro
Estadio Cuauhtemoc,0.1449,octubre
Estadio Cuauhtemoc,0.1440,arquitecto
Estadio Cuauhtemoc,0.1438,equipo
Estadio Cuauhtemoc,0.1438,juego
Estadio Cuauhtemoc,0.1036,mayor
Estadio Cuauhtemoc,0.1036,primero
Estadio Cuauhtemoc,0.0896,mexicano
Estadio Cuauhtemoc,0.0896,nombre
Estadio Cuauhtemoc,0.0896,primer
Estadio Cuauhtemoc,0.0896,segundo
Estadio Cuauhtemoc,0.0815,grande
Estadio Cuauhtemoc,0.0815,nacional
Estadio Cuauhtemoc,0.0815,nuevo
Estadio Cuauhtemoc,0.0809,albicelestes
