poi,predominance,term
Estadio Cuauhtemoc,0.8506,estadio
Estadio Cuauhtemoc,0.5786,mundial
Estadio Cuauhtemoc,0.5302,cuauhtémoc
Estadio Cuauhtemoc,0.5302,fútbol
Estadio Cuauhtemoc,0.4787,copa
Estadio Cuauhtemoc,0.3426,sede
Estadio Cuauhtemoc,0.3283,méxico
Estadio Cuauhtemoc,0.3024,deportivo
Estadio Cuauhtemoc,0.3024,partido
Estadio Cuauhtemoc,0.2708,construcción
Museo Amparo,0.6542,museo
Museo Amparo,0.6477,amparo
Museo Amparo,0.5322,arte
Museo Amparo,0.3681,colección
Museo Amparo,0.3385,espinosa
Museo Amparo,0.2679,méxico
Museo Amparo,0.2410,virreinal
Museo Amparo,0.2361,yglesias
Museo Amparo,0.2215,prehispánico
Museo Amparo,0.2020,temporal
Mercado Parian,0.4460,ciudad
Mercado Parian,0.4271,artesanía
Mercado Parian,0.3897,mercado
Mercado Parian,0.3006,producto
Mercado Parian,0.2796,talavera
Mercado Parian,0.2425,parián
Mercado Parian,0.2371,tradicional
Mercado Parian,0.2305,región
Mercado Parian,0.2305,típico
Mercado Parian,0.1944,bolsa
Plazuela Sapos,0.4829,sapos
Plazuela Sapos,0.4175,antigüedad
Plazuela Sapos,0.3497,plazuela
Plazuela Sapos,0.3462,restaurante
Plazuela Sapos,0.3385,domingo
Plazuela Sapos,0.3318,gran
Plazuela Sapos,0.3058,bar
Plazuela Sapos,0.3058,callejón
Plazuela Sapos,0.2984,sábado
Plazuela Sapos,0.2935,tianguis
Paseo San Francisco,0.6334,paseo
Paseo San Francisco,0.5670,san
Paseo San Francisco,0.4720,francisco
Paseo San Francisco,0.3406,centro
Paseo San Francisco,0.2671,tradición
Paseo San Francisco,0.2629,zona
Paseo San Francisco,0.2514,ciudad
Paseo San Francisco,0.2514,lugar
Paseo San Francisco,0.2202,convención
Paseo San Francisco,0.2180,convento
Murep,0.4841,sala
Murep,0.4546,museo
Murep,0.2561,época
Murep,0.2406,objeto
Murep,0.2076,histórico
Murep,0.2076,primero
Murep,0.1956,región
Murep,0.1745,historia
Murep,0.1657,regional
Murep,0.1646,vida
Catedral Puebla,0.3706,san
Catedral Puebla,0.3051,capilla
Catedral Puebla,0.2273,catedral
Catedral Puebla,0.2012,obispo
Catedral Puebla,0.1777,obra
Catedral Puebla,0.1769,mayor
Catedral Puebla,0.1723,santo
Catedral Puebla,0.1598,lado
Catedral Puebla,0.1588,juan
Catedral Puebla,0.1547,altar
Barrio Analco,0.6390,barrio
Barrio Analco,0.6129,analco
Barrio Analco,0.5548,ciudad
Barrio Analco,0.4767,río
Barrio Analco,0.4588,francisco
Barrio Analco,0.4471,san
Barrio Analco,0.4282,custodio
Barrio Analco,0.4110,tianguis
Barrio Analco,0.4110,Ángel
Barrio Analco,0.3929,santo
Exconvento Calpan,0.6023,convento
Exconvento Calpan,0.5209,san
Exconvento Calpan,0.4869,franciscano
Exconvento Calpan,0.4003,capilla
Exconvento Calpan,0.3313,andrés
Exconvento Calpan,0.3131,calpan
Exconvento Calpan,0.2736,municipio
Exconvento Calpan,0.2413,posas
Exconvento Calpan,0.2269,templo
Exconvento Calpan,0.2244,fachada
Fuerte Guadalupe,0.7211,fuerte
Fuerte Guadalupe,0.4855,mayo
Fuerte Guadalupe,0.3979,historia
Fuerte Guadalupe,0.3703,batalla
Fuerte Guadalupe,0.3324,ejército
Fuerte Guadalupe,0.3168,xvi
Fuerte Guadalupe,0.3141,histórico
Fuerte Guadalupe,0.2341,ermita
Fuerte Guadalupe,0.2312,cargo
Fuerte Guadalupe,0.2312,francés
Exconvento San Gabriel,0.8397,capilla
Exconvento San Gabriel,0.6220,templo
Exconvento San Gabriel,0.6026,san
Exconvento San Gabriel,0.5406,convento
Exconvento San Gabriel,0.4433,gabriel
Exconvento San Gabriel,0.3819,franciscano
Exconvento San Gabriel,0.3468,antiguo
Exconvento San Gabriel,0.3115,gótico
Exconvento San Gabriel,0.2952,orden
Exconvento San Gabriel,0.2592,tercero
Fuerte Loreto,0.7783,museo
Fuerte Loreto,0.5577,loreto
Fuerte Loreto,0.5232,fuerte
Fuerte Loreto,0.3689,intervención
Fuerte Loreto,0.3300,batalla
Fuerte Loreto,0.2912,sala
Fuerte Loreto,0.2885,mayo
Fuerte Loreto,0.2530,siglo
Fuerte Loreto,0.2175,historia
Fuerte Loreto,0.1923,militar
Exconvento Santa Monica,0.5344,religioso
Exconvento Santa Monica,0.5116,sala
Exconvento Santa Monica,0.4323,convento
Exconvento Santa Monica,0.3698,museo
Exconvento Santa Monica,0.3491,santo
Exconvento Santa Monica,0.3176,arte
Exconvento Santa Monica,0.2987,vida
Exconvento Santa Monica,0.2976,monja
Exconvento Santa Monica,0.2585,mónica
Exconvento Santa Monica,0.2471,alto
Museo Revolucion,0.9216,serdán
Museo Revolucion,0.5605,aquiles
Museo Revolucion,0.4611,carmen
Museo Revolucion,0.4603,familia
Museo Revolucion,0.4514,casa
Museo Revolucion,0.4370,noviembre
Museo Revolucion,0.4370,revolución
Museo Revolucion,0.4164,planta
Museo Revolucion,0.3229,museo
Museo Revolucion,0.3229,sala
Africam,0.3952,animal
Africam,0.3490,safari
Africam,0.2840,africam
Africam,0.2725,parque
Africam,0.2622,zona
Africam,0.2565,mexicano
Africam,0.2405,especie
Africam,0.1822,aventura
Africam,0.1777,camacho
Africam,0.1777,negro
Barrio Artista,0.3490,barrio
Barrio Artista,0.3099,josé
Barrio Artista,0.2970,arte
Barrio Artista,0.2758,artista
Barrio Artista,0.2674,maestro
Barrio Artista,0.2432,agrupación
Barrio Artista,0.2148,lugar
Barrio Artista,0.1928,márquez
Barrio Artista,0.1825,exposición
Barrio Artista,0.1770,poblano
Piramide Cholula,0.6309,pirámide
Piramide Cholula,0.5250,cholula
Piramide Cholula,0.4631,gran
Piramide Cholula,0.2225,arqueológico
Piramide Cholula,0.2175,prehispánico
Piramide Cholula,0.2157,principal
Piramide Cholula,0.2141,zona
Piramide Cholula,0.2127,templo
Piramide Cholula,0.2019,mesoamérico
Piramide Cholula,0.1878,edificio
Capilla Rosario,0.5420,santo
Capilla Rosario,0.5281,rosario
Capilla Rosario,0.4037,capilla
Capilla Rosario,0.3297,virgen
Capilla Rosario,0.2475,barroco
Capilla Rosario,0.1964,pintura
Capilla Rosario,0.1940,dominico
Capilla Rosario,0.1780,domingo
Capilla Rosario,0.1780,templo
Capilla Rosario,0.1725,san
Centro Expositor,0.6002,centro
Centro Expositor,0.5146,servicio
Centro Expositor,0.4812,exposicion
Centro Expositor,0.4554,exposición
Centro Expositor,0.4077,congreso
Centro Expositor,0.3913,capacidad
Centro Expositor,0.3864,evento
Centro Expositor,0.3719,arquitectónico
Centro Expositor,0.3651,espacio
Centro Expositor,0.3028,bloqu
Casa AlfeñIque,0.8915,casa
Casa AlfeñIque,0.6177,alfeñique
Casa AlfeñIque,0.3965,museo
Casa AlfeñIque,0.3565,poblano
Casa AlfeñIque,0.3438,moral
Casa AlfeñIque,0.2931,regional
Casa AlfeñIque,0.2832,siglo
Casa AlfeñIque,0.2545,ignacio
Casa AlfeñIque,0.2233,dulce
Casa AlfeñIque,0.2164,maestro
